msgid,rus,en
YES,,YES
Suspect making new tattoo...,ЗАКЛЮЧЁННЫЙ БЬЁТ СЕБЕ НОВОЕ ТАТУ...,Suspect making new tattoo...
Vector,,Vector
Weapon,,Weapon
Decorating maps...,ОБУСТРАИВАЕМ КАРТЫ...,Decorating maps...
Bullet speed,СКОРО ПУЛИ,Bullet speed
SAVE,СОХРАНИТЬ,SAVE
PRESS TO CRASH,"НАЖМИТЕ, ЧТОБЫ КРАШНУТЬ КЛИЕНТ",PRESS TO CRASH
Mantra brewing potion...,МАНТРА ВАРИТ ЗЕЛЬЯ...,Mantra brewing potion...
USE THE SCOPE,ИСПОЛЬЗУЙТЕ ПРИЦЕЛ,USE THE SCOPE
Purchase Time,,Purchase Time
FOUND THE JACKPOT. SHOOT THIS PLAYER TO GET REWARD BACK,"НАХОДИТ ДЖЕПОТ! ПОДСТРЕЛИ ЭТОГО ИГРОКА, ЧТОБЫ ЗАБРАТЬ НАГРАДУ",FOUND THE JACKPOT. SHOOT THIS PLAYER TO GET REWARD BACK
EXTRA      {XP},ДОП.      {EXP},EXTRA      {XP}
0,0,0
Candy Dome,КОНФЕТНЫЙ КУПОЛ,Candy Dome
Reload time,,Reload time
LOADING RESOURCES,ЗАГРУЗКА РЕСУРСОВ,LOADING RESOURCES
Connect,,Connect
I like to see the max upgrade golden tag on my gun.,"Мне нравится видеть ""МАКС. АПГРЕЙД"" на моем оружии.",I like to see the max upgrade golden tag on my gun.
Abort,,Abort
WHAT  DO YOU EXPECT FROM THE GAME?,ЧЕГО ВЫ ОЖИДАЕТЕ ОТ ИГРЫ?,WHAT  DO YOU EXPECT FROM THE GAME?
High Latency,,High Latency
State: Inactive,,State: Inactive
"LET'S
UPGRADE
NEW GUN","ДАВАЙТЕ
УЛУЧШИМ
НОВОЕ ОРУЖИЕ","LET'S
UPGRADE
NEW GUN"
LMG,ПУЛЕМЁТЫ,LMG
MAIN WEAPON,ОСНОВНОЕ ОРУЖИЕ,MAIN WEAPON
X,,X
Small sun,,Small sun
D.O.Nut searching for handcuffs...,ОФИЦЕР Д.О.НАТ ИЩЕТ НАРУЧНИКИ...,D.O.Nut searching for handcuffs...
or,ИЛИ,or
BATTLE ROYALE,КОРОЛЕВСКАЯ БИТВА,BATTLE ROYALE
So sweet to get into the battle with max upgraded guns! ,Так приятно выходить на бой с оружием с меткой МАКС. АПГРЕЙД!,So sweet to get into the battle with max upgraded guns! 
Skin-Name,,Skin-Name
CHALLENGE,ИСПЫТАНИЕ,CHALLENGE
Possible rewards:,ВОЗМОЖНЫЕ НАГРАДЫ:,Possible rewards:
Reward-Option,,Reward-Option
Material instance has naming issues!,,Material instance has naming issues!
PRICE N/A,ЦЕНА НЕДОСТУПНА,PRICE N/A
HM 0,,HM 0
SNIPER WEAPON,СНАЙПЕРСКАЯ ВИНТОВКА,SNIPER WEAPON
buy any 5 master skin,Купите 5 скинов мастера,buy any 5 master skin
300,300,300
IS ON FOR ,ПРОДЛИТСЯ В,IS ON FOR 
Legendary Vest,,Legendary Vest
45,45,45
True,ВКЛ.,True
DEATH  EFFECT,ЭФФЕКТ СМЕРТИ,DEATH  EFFECT
LEAVE FEEDBACK,ОСТАВЬТЕ ОТЗЫВ,LEAVE FEEDBACK
Get to battle royale top 10 with {0} different masters,"Достигните ТОП-10 в ""Королевской Битве"" с {0} разными мастерами",Get to battle royale top 10 with {0} different masters
REWARD: ,НАГРАДА:,REWARD: 
Heal,,Heal
Instagram,INSTAGRAM,Instagram
Golden max upgrade tag or nothing!,"""МАКС. АПГРЕЙД"" или ничего!",Golden max upgrade tag or nothing!
PAN COINS,PAN-МОНЕТЫ,PAN COINS
{M} A ,,{M} A 
REFRESH,ОБНОВИТСЯ ЧЕРЕЗ,REFRESH
East,,East
TM 0,,TM 0
Let's make it better together! ,ДАВАЙТЕ ВМЕСТЕ СДЕЛАЕМ ИГРУ ЛУЧШЕ!,Let's make it better together! 
Touch,,Touch
"LEVEL UP TO GET THE
CONTRACTS!","ПОВЫШЕНИЕ УРОВНЯ ДАСТ
ВАМ КОНТРАКТЫ!","LEVEL UP TO GET THE
CONTRACTS!"
Demo 4 - Spline as a rail,,Demo 4 - Spline as a rail
ST,-ЫЙ,ST
LOCATION:,ЛОКАЦИЯ:,LOCATION:
SHOW HIDDEN ASSETS,ПОКАЗАТЬ СКРЫТЫЕ МАТЕРИАЛЫ,SHOW HIDDEN ASSETS
DOWNLOAD COMPLETED,ЗАГРУЗКА ЗАВЕРШЕНА,DOWNLOAD COMPLETED
CONTROL,УПРАВЛЕНИЕ,CONTROL
DISMISS,СКРЫТЬ,DISMISS
AnimationAbilityUIMode,АНИМАЦИЯ ОТОБРАЖЕНИЯ УЛЬТЫ,AnimationAbilityUIMode
DAMAGE,УРОН,DAMAGE
NO GUN,БЕЗ ОРУЖИЯ,NO GUN
PRIZES,ПРИЗЫ,PRIZES
{Pack} of {Packs},,{Pack} of {Packs}
3.B Compass and Needle,,3.B Compass and Needle
StartPoint red,,StartPoint red
False,ВЫКЛ.,False
Poison,ЯД,Poison
Off,ВЫКЛ.,Off
Recoil,,Recoil
Range long,,Range long
CameraLagSpeed,,CameraLagSpeed
ERROR,ОШИБКА,ERROR
Mime putting on make-up...,МИМ НАНОСИТ СЕБЕ МАКИЯЖ...,Mime putting on make-up...
WSW,,WSW
Weap Specs,,Weap Specs
EARN CARDS,ДОБЫВАЙ КАРТОЧКИ,EARN CARDS
This version of the game is outdated,,This version of the game is outdated
